plugin_slug,zip_source,type,activate
events-calendar-pro,https://owncloud.scarabmedia.com/s/EJYd7LgK3TCsI2u/download,url,true
the-events-calendar-community-events,https://owncloud.scarabmedia.com/s/fgXHuIOihS0xZNF/download,url,true
the-events-calendar-filterbar,https://owncloud.scarabmedia.com/s/a3cbydZejl1VaUj/download,url,true
